 Óbitos infantis - Rio de Janeiro
Óbitos p/Residênc por Categoria CID-10 e Ano do Óbito
Município: 330250 Magé
Período:2018
"Categoria CID-10";"2018";"Total"
"A00   Colera";-;-
"A01   Febres tifoide e paratifoide";-;-
"A02   Outr infecc p/Salmonella";-;-
"A03   Shiguelose";-;-
"A04   Outr infecc intestinais bacter";-;-
"A05   Outr intox alimentares bacter NCOP";-;-
"A06   Amebiase";-;-
"A07   Outr doenc intestinais p/protozoarios";-;-
"A08   Infecc intestinais virais outr e as NE";-;-
"A09   Diarreia e gastroenterite orig infecc presum";1;1
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-
"A16   Tuberc vias respirat s/conf bacter histol";-;-
"A17   Tuberc do sist nervoso";-;-
"A18   Tuberc de outr orgaos";-;-
"A19   Tuberc miliar";-;-
"A20   Peste";-;-
"A21   Tularemia";-;-
"A22   Carbunculo";-;-
"A23   Brucelose";-;-
"A24   Mormo e melioidose";-;-
"A25   Febres transm p/mordedura de rato";-;-
"A26   Erisipeloide";-;-
"A27   Leptospirose";-;-
"A28   Outr doenc bacter zoonoticas NCOP";-;-
"A30   Hanseniase";-;-
"A31   Infecc dev outr micobacterias";-;-
"A32   Listeriose";-;-
"A33   Tetano do recem-nascido";-;-
"A34   Tetano obstetrico";-;-
"A35   Outr tipos de tetano";-;-
"A36   Difteria";-;-
"A37   Coqueluche";-;-
"A38   Escarlatina";-;-
"A39   Infecc meningogocica";-;-
"A40   Septicemia estreptococica";-;-
"A41   Outr septicemias";-;-
"A42   Actinomicose";-;-
"A43   Nocardiose";-;-
"A44   Bartonelose";-;-
"A46   Erisipela";-;-
"A48   Outr doenc bacter NCOP";-;-
"A49   Infecc bacter de localiz NE";-;-
"A50   Sifilis congen";3;3
"A51   Sifilis precoce";-;-
"A52   Sifilis tard";-;-
"A53   Outr form e as NE da sifilis";-;-
"A54   Infecc gonococica";-;-
"A55   Linfogranuloma p/clamidia";-;-
"A56   Outr infecc p/clamidias transm p/via sexual";-;-
"A57   Cancro mole";-;-
"A58   Granuloma inguinal";-;-
"A59   Tricomoniase";-;-
"A60   Infecc anogenitais p/virus do herpes";-;-
"A63   Outr doenc de transm predom sexual NCOP";-;-
"A64   Doenc sexualmente transm NE";-;-
"A65   Sifilis nao-venerea";-;-
"A66   Bouba";-;-
"A67   Pinta";-;-
"A68   Febres recorrentes";-;-
"A69   Outr infecc p/espiroquetas";-;-
"A70   Infecc causadas p/Clamidia psittaci";-;-
"A71   Tracoma";-;-
"A74   Outr doenc causadas p/Clamidias";-;-
"A75   Tifo exantematico";-;-
"A77   Febre maculosa";-;-
"A78   Febre Q";-;-
"A79   Outr rickettsioses";-;-
"A80   Poliomielite aguda";-;-
"A81   Infecc p/virus atipicos sist nervoso central";-;-
"A82   Raiva";-;-
"A83   Encefalite p/virus transm p/mosquitos";-;-
"A84   Encefalite p/virus transm p/carrapatos";-;-
"A85   Outr encefalites virais NCOP";-;-
"A86   Encefalite viral NE";-;-
"A87   Meningite viral";-;-
"A88   Outr infecc virais sist nervoso central NCOP";-;-
"A89   Infecc virais NE do sist nervoso central";-;-
"A90   Dengue";-;-
"A91   Febre hemorragica dev virus do dengue";-;-
"A92   Outr febres virais transm p/mosquitos";-;-
"A93   Outr febres p/virus transm p/artropodes NCOP";-;-
"A94   Febre viral transm p/artropodes NE";-;-
"A95   Febre amarela";-;-
"A96   Febre hemorragica p/arenavirus";-;-
"A98   Outr febres hemorragicas p/virus NCOP";-;-
"A99   Febres hemorragicas virais NE";-;-
"B00   Infecc p/virus do herpes";-;-
"B01   Varicela";-;-
"B02   Herpes zoster";-;-
"B03   Variola";-;-
"B04   Variola dos macacos";-;-
"B05   Sarampo";-;-
"B06   Rubeola";-;-
"B07   Verrugas orig viral";-;-
"B08   Outr inf virais lesoes pele membr muc NCOP";-;-
"B09   Inf viral NE caract p/lesoes pele membr muco";-;-
"B15   Hepatite aguda A";-;-
"B16   Hepatite aguda B";-;-
"B17   Outr hepatites virais agudas";-;-
"B18   Hepatite viral cronica";-;-
"B19   Hepatite viral NE";-;-
"B20   Doenc p/HIV result doenc infecc e parasit";-;-
"B21   Doenc p/HIV result em neopl malig";-;-
"B22   Doenc p/HIV result em outr doenc espec";-;-
"B23   Doenc p/HIV result em outr doenc";-;-
"B24   Doenc p/HIV NE";-;-
"B25   Doenc p/citomegalovirus";-;-
"B26   Caxumba";-;-
"B27   Mononucleose infecc";-;-
"B30   Conjuntivite viral";-;-
"B33   Outr doenc p/virus NCOP";-;-
"B34   Doenc p/virus de localiz NE";-;-
"B35   Dermatofitose";-;-
"B36   Outr micoses superf";-;-
"B37   Candidiase";-;-
"B38   Coccidioidomicose";-;-
"B39   Histoplasmose";-;-
"B40   Blastomicose";-;-
"B41   Paracoccidioidomicose";-;-
"B42   Esporotricose";-;-
"B43   Cromomicose e abscesso feomicotico";-;-
"B44   Aspergilose";-;-
"B45   Criptococose";-;-
"B46   Zigomicose";-;-
"B47   Micetoma";-;-
"B48   Outr micoses NCOP";-;-
"B49   Micose NE";-;-
"B50   Malaria p/Plasmodium falciparum";-;-
"B51   Malaria p/Plasmodium vivax";-;-
"B52   Malaria p/Plasmodium malariae";-;-
"B53   Outr form malaria conf p/exames parasitolog";-;-
"B54   Malaria NE";-;-
"B55   Leishmaniose";-;-
"B56   Tripanossomiase africana";-;-
"B57   Doenc de Chagas";-;-
"B58   Toxoplasmose";-;-
"B59   Pneumocistose";-;-
"B60   Outr doenc dev protozoarios NCOP";-;-
"B64   Doenc NE dev protozoarios";-;-
"B65   Esquistossomose";-;-
"B66   Outr infestacoes p/trematodeos";-;-
"B67   Equinococose";-;-
"B68   Infestacao p/Taenia";-;-
"B69   Cisticercose";-;-
"B70   Difilobotriase e esparganose";-;-
"B71   Outr infestacoes p/cestoides";-;-
"B72   Dracontiase";-;-
"B73   Oncocercose";-;-
"B74   Filariose";-;-
"B75   Triquinose";-;-
"B76   Ancilostomiase";-;-
"B77   Ascaridiase";-;-
"B78   Estrongiloidiase";-;-
"B79   Tricuriase";-;-
"B80   Oxiuriase";-;-
"B81   Outr helmintiases intestinais NCOP";-;-
"B82   Parasitose intestinal NE";-;-
"B83   Outr helmintiases";-;-
"B85   Pediculose e ftiriase";-;-
"B86   Escabiose";-;-
"B87   Miiase";-;-
"B88   Outr infestacoes";-;-
"B89   Doenc parasit NE";-;-
"B90   Sequelas de tuberc";-;-
"B91   Sequelas de poliomielite";-;-
